Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol Type,Packet Length,Time of Day,User Authentication Status,Number of Packets in the Session,Attack Type,Bytes Transferred,DNS Query Count,HTTP Request Count,SSL Handshake Count,Network Traffic Anomaly Score,Geographic Location,Session Duration,Average Packet Rate,Average Bit Rate,Average Response Time,Operating System,Device Type,Time Since Last Access,VPN Connection Status,Malware Signature Match
209.225.104.134,80.160.236.236,61718,28086,TCP,103,9:19:52,Unauthenticated,123,Phishing,534341,4,29,4,0.5199775103015412,USA,488,71,8859,13,MacOS,Server,57024,Connected,1
162.158.251.140,99.206.29.149,46165,27674,TCP,255,18:46:08,Unauthenticated,5,Malware,33351,9,35,4,0.9076680897865068,India,589,76,5142,38,Other,Router,57752,Connected,1
134.34.63.123,161.176.167.74,56250,21451,TCP,520,11:08:04,Authenticated,73,Malware,959962,8,43,4,0.5706939194263279,India,359,88,1724,91,Windows,Mobile,39833,Disconnected,1
152.96.24.118,74.212.242.19,62996,48503,TCP,282,19:11:59,Unauthenticated,128,DDoS,354848,9,38,3,0.27808936051324296,Germany,614,54,4421,1,Other,Server,22068,Connected,1
79.1.235.214,28.120.117.200,49414,15274,TCP,69,12:34:33,Unauthenticated,174,Phishing,339901,8,15,0,0.46482709610258854,Brazil,2785,23,4492,30,MacOS,IoT,54432,Connected,0
178.0.181.81,89.239.167.61,38837,27512,UDP,426,19:17:22,Unauthenticated,8,None,228212,9,26,1,0.7662157090667873,China,1304,69,5632,75,MacOS,Router,8852,Connected,1
232.8.193.145,201.98.154.103,16452,33227,TCP,1109,13:28:51,Authenticated,93,None,918040,3,5,0,0.721804382037746,India,3003,69,140,19,Other,Server,59317,Disconnected,1
44.1.224.70,15.170.233.145,38735,60807,TCP,236,10:14:37,Authenticated,94,Phishing,745892,2,5,0,0.9733635075059834,USA,2524,64,5591,44,Other,Router,46298,Disconnected,1
87.242.142.166,105.182.49.45,11944,30133,UDP,1203,18:29:25,Unauthenticated,83,None,407137,8,19,2,0.5274712644135922,USA,3171,25,130,72,Other,Mobile,69981,Disconnected,0
81.135.7.134,139.228.89.50,2783,29490,TCP,414,10:57:10,Unauthenticated,157,Malware,257950,1,19,4,0.9639422415796184,India,2726,33,1739,74,Windows,Mobile,29288,Disconnected,1
139.156.94.93,28.117.4.59,55584,63337,UDP,496,1:27:04,Authenticated,125,Malware,495626,0,41,3,0.6918964916351368,Brazil,1125,68,2362,71,Windows,Router,73343,Disconnected,0
230.132.39.118,90.218.66.20,35831,19356,TCP,599,1:52:44,Authenticated,145,Insider Threat,110680,6,36,2,0.40004963118233106,China,760,38,1277,59,Windows,IoT,45399,Connected,0
150.198.83.193,17.144.141.6,44249,39450,UDP,492,17:48:34,Authenticated,3,DDoS,413230,6,46,2,0.5106448212794712,India,2297,90,792,18,Windows,Server,33904,Disconnected,1
59.249.94.182,134.128.204.70,14245,52094,UDP,1493,0:21:15,Authenticated,47,Malware,382532,3,12,2,0.2782531673864487,India,2109,78,7876,65,MacOS,IoT,62160,Disconnected,0
3.231.248.117,245.124.181.40,39725,18816,UDP,518,7:39:17,Authenticated,4,DDoS,187149,7,7,1,0.5855472635993566,USA,3273,77,9615,81,Windows,Server,48846,Disconnected,1
130.51.30.184,18.198.234.159,53789,30018,TCP,1011,20:05:23,Authenticated,135,Malware,270199,9,39,2,0.518686052527789,USA,2432,87,1604,11,MacOS,IoT,23008,Connected,0
213.17.159.74,119.217.78.128,38260,52353,UDP,988,16:06:18,Authenticated,112,Malware,925390,6,16,3,0.3666641957875826,Germany,334,8,7361,49,MacOS,PC,44408,Disconnected,1
185.4.219.233,163.251.85.165,33220,18786,TCP,973,13:15:46,Authenticated,11,Insider Threat,928166,4,3,1,0.6269203625906834,India,31,91,6296,16,Windows,Mobile,15484,Disconnected,1
179.66.159.135,17.226.6.143,48737,22843,UDP,1433,19:01:44,Authenticated,95,None,473055,9,36,4,0.4088980102430372,USA,2409,23,6517,66,Linux,Server,27792,Disconnected,0
69.170.224.47,44.249.237.66,11281,41003,TCP,1479,10:38:40,Authenticated,195,Phishing,872944,2,14,4,0.027581570492314134,USA,2385,66,7846,92,Other,Mobile,65356,Connected,0
11.35.179.255,140.83.201.29,26356,60429,TCP,1086,21:49:00,Unauthenticated,180,Malware,725099,5,17,3,0.025487473470395594,India,426,37,9573,61,MacOS,Mobile,33897,Connected,0
238.210.217.182,221.249.250.189,58028,12614,TCP,696,19:01:55,Authenticated,92,Phishing,772417,6,1,0,0.5454734203911386,USA,1641,44,1020,25,Linux,Router,59590,Connected,1
239.76.86.161,224.173.169.69,28810,26110,TCP,1365,2:50:54,Unauthenticated,187,Phishing,291875,8,28,0,0.9727748963440984,India,1395,45,7942,88,MacOS,PC,7586,Connected,0
220.167.51.187,36.20.183.130,3394,18460,TCP,1138,3:16:13,Authenticated,173,Phishing,469435,1,14,4,0.05168374837826406,Brazil,894,44,7242,10,MacOS,Router,29432,Connected,0
175.57.159.10,188.94.31.136,54027,44117,UDP,669,0:45:10,Unauthenticated,94,None,569189,6,38,2,0.9148582500917706,Germany,495,87,7205,33,MacOS,Mobile,79476,Connected,1
81.154.81.206,153.69.222.89,19088,2041,UDP,1364,18:32:21,Authenticated,81,Insider Threat,508984,6,38,4,0.9180460036977851,USA,2173,45,7614,3,Linux,Server,3220,Disconnected,1
143.165.232.107,192.55.70.187,18932,25528,UDP,1217,5:32:12,Authenticated,4,None,988443,0,11,4,0.9128552983976012,India,821,18,7536,58,Other,Mobile,76608,Connected,1
249.124.231.118,13.255.29.215,13773,23373,TCP,125,13:00:13,Authenticated,92,DDoS,147153,9,36,4,0.4864050428819291,Brazil,3207,91,7983,62,Other,PC,5228,Disconnected,1
135.78.188.129,118.185.144.141,64793,59481,UDP,67,9:37:01,Unauthenticated,148,None,691787,3,5,4,0.1643429940608262,USA,519,41,2460,6,Other,Router,62450,Disconnected,1
166.216.141.8,48.206.189.227,58600,32751,TCP,1076,15:54:44,Authenticated,84,Phishing,440880,9,11,1,0.7701803287506159,USA,3336,21,1231,56,MacOS,PC,79790,Disconnected,1
56.105.88.193,234.119.147.57,41924,46523,TCP,1208,10:16:08,Unauthenticated,90,Malware,287871,3,16,2,0.3333180606244468,Brazil,1544,74,6845,60,Other,Server,84762,Disconnected,1
158.48.166.153,168.12.138.73,19109,45571,UDP,187,20:22:23,Authenticated,12,Insider Threat,786470,8,7,3,0.018464055288374914,India,2090,57,8826,85,Other,IoT,40509,Disconnected,0
82.75.83.188,233.68.110.57,45037,1343,UDP,1247,18:27:29,Authenticated,42,Malware,269240,0,29,0,0.4448910794244957,Brazil,532,63,2932,70,MacOS,Server,66323,Connected,1
207.30.93.20,178.68.160.40,3361,61271,UDP,760,9:56:54,Unauthenticated,67,Phishing,617851,6,9,1,0.11854436884154518,USA,1665,29,5126,96,Windows,Router,67504,Connected,1
35.142.171.223,44.238.233.17,61350,49009,TCP,813,2:25:26,Unauthenticated,81,DDoS,126709,9,0,2,0.048738455743210785,USA,1142,38,8853,50,Windows,Router,39634,Disconnected,0
237.6.90.86,252.130.141.29,43006,53239,UDP,332,14:02:54,Unauthenticated,189,Insider Threat,30825,4,26,0,0.8877034937456717,China,161,39,8901,51,MacOS,Mobile,73960,Disconnected,1
89.176.104.255,75.77.185.193,34953,62659,UDP,1438,13:41:16,Authenticated,2,DDoS,270027,7,35,2,0.9556506453755218,China,2942,94,3320,26,Other,Mobile,40629,Connected,0
112.141.26.14,18.175.81.62,11403,17484,UDP,958,10:10:55,Authenticated,157,Phishing,659876,7,5,0,0.2769902993917642,India,1442,85,7591,91,MacOS,Router,22001,Disconnected,1
185.7.199.82,90.104.173.151,40189,44540,TCP,1495,21:35:19,Unauthenticated,75,Insider Threat,647794,9,26,2,0.9280401981851522,Germany,423,96,4947,83,MacOS,Server,28828,Connected,0
134.213.98.24,125.126.164.13,41607,59546,UDP,710,3:48:01,Unauthenticated,62,DDoS,189800,8,25,0,0.2539364411103884,China,3580,84,9138,13,Linux,Server,49040,Connected,0
205.45.64.125,81.130.152.132,60856,25021,TCP,133,23:09:17,Authenticated,122,Insider Threat,512915,9,40,2,0.9087556453646556,China,1915,21,470,61,Windows,Server,25321,Disconnected,0
253.173.236.106,142.197.101.205,60134,60084,UDP,1083,21:28:54,Unauthenticated,58,Phishing,827679,4,29,1,0.9894647150698117,China,1299,89,920,66,Linux,Router,44756,Disconnected,1
83.65.88.57,142.163.214.242,36875,27794,UDP,1181,21:01:03,Unauthenticated,138,Insider Threat,834495,3,8,2,0.1720999850056455,Germany,1665,5,202,5,Linux,Server,80701,Disconnected,1
18.126.255.91,18.49.151.50,11231,54095,TCP,1400,4:22:01,Authenticated,111,None,432996,3,10,3,0.6611587908514,China,2702,87,6198,93,MacOS,Mobile,7997,Disconnected,1
90.210.99.102,231.191.35.19,13739,40241,TCP,1133,5:51:02,Authenticated,162,DDoS,735135,7,2,4,0.08232370293622215,USA,2693,51,3536,24,MacOS,Mobile,77210,Connected,0
44.245.126.201,53.221.192.208,29616,3814,UDP,1104,11:58:02,Authenticated,107,Malware,702178,2,13,0,0.5249134730141216,Brazil,1805,36,271,97,MacOS,Router,37971,Disconnected,0
49.90.185.80,8.94.164.218,9437,29933,UDP,737,5:56:00,Unauthenticated,116,None,444290,5,31,3,0.5122923657448899,USA,383,94,8584,80,Windows,Mobile,12441,Connected,0
17.201.231.138,132.203.250.219,1687,29880,TCP,279,10:05:33,Authenticated,68,DDoS,800536,7,28,0,0.4779731160003541,China,1437,88,7636,86,Windows,IoT,84518,Disconnected,0
27.230.87.238,180.200.121.56,36441,39298,UDP,1068,1:56:05,Unauthenticated,54,Malware,570331,6,4,4,0.2767754525338324,USA,810,39,6234,56,Other,IoT,47292,Disconnected,1
54.115.231.219,80.43.225.93,63724,51734,UDP,841,17:56:43,Authenticated,190,Malware,270981,1,38,2,0.9945286417602363,China,361,99,8288,67,Windows,Router,30677,Disconnected,0
88.32.196.80,71.118.224.254,39990,3451,TCP,879,5:02:49,Unauthenticated,32,Phishing,735854,2,24,3,0.5227165759821597,Brazil,2644,28,9577,42,Linux,IoT,7341,Connected,0
53.94.3.44,215.215.22.39,51737,5584,UDP,1116,18:16:46,Authenticated,192,DDoS,772430,0,46,1,0.7173416939602817,Germany,2774,78,9796,33,Other,IoT,79275,Disconnected,1
115.14.129.73,38.200.222.3,46773,12797,TCP,131,0:47:27,Unauthenticated,91,Phishing,607300,3,14,4,0.7266111868006778,China,1987,75,5607,74,Other,Router,85781,Connected,0
181.203.106.12,233.13.123.59,21626,55013,TCP,588,22:00:49,Authenticated,148,Phishing,61948,3,31,3,0.08690728729562192,Brazil,170,81,2486,21,Windows,IoT,45980,Disconnected,0
240.77.185.7,132.40.236.18,17797,22670,TCP,784,10:19:28,Unauthenticated,101,Phishing,431685,9,12,4,0.3337384283828668,China,1233,21,5305,94,MacOS,Mobile,5110,Connected,0
179.181.219.218,51.74.44.183,39639,28227,TCP,936,11:19:46,Unauthenticated,188,Malware,910462,5,42,1,0.751180941665878,Germany,340,22,5649,29,Other,Mobile,59950,Disconnected,0
198.241.235.119,11.144.23.34,30501,45632,TCP,268,19:16:54,Unauthenticated,67,Malware,893687,3,49,0,0.8787197787815977,Germany,2473,33,2995,27,Linux,IoT,9040,Connected,0
233.192.73.160,36.103.28.138,9944,55161,TCP,741,14:14:26,Authenticated,27,None,631784,1,17,1,0.9428197471766808,Brazil,70,68,3419,52,Other,Mobile,5828,Connected,1
138.236.65.36,122.227.36.244,65462,21192,UDP,794,4:54:28,Unauthenticated,130,None,396441,3,2,0,0.7526145630147332,USA,2039,53,4329,63,MacOS,Server,68840,Disconnected,0
169.186.166.33,109.237.20.21,53591,38594,TCP,1034,5:23:26,Unauthenticated,90,DDoS,340881,0,45,0,0.1879869969851653,Germany,857,63,3792,68,Linux,PC,39736,Connected,0
235.82.196.38,253.129.158.128,25155,26571,UDP,1449,15:37:56,Unauthenticated,83,Insider Threat,48663,6,2,4,0.027650675953249326,Brazil,3297,62,4537,79,MacOS,IoT,75512,Connected,0
163.138.26.245,25.148.245.120,54307,60208,UDP,1256,2:31:52,Unauthenticated,167,None,432963,7,46,3,0.7398124059399117,Brazil,736,66,1156,98,Other,Server,25449,Disconnected,0
141.143.244.142,25.231.37.253,22270,50217,TCP,383,19:56:01,Unauthenticated,182,DDoS,103131,3,17,1,0.23286094017208803,USA,3103,78,9789,41,Other,IoT,71291,Connected,1
14.245.106.202,60.27.171.176,2578,37049,UDP,682,10:08:32,Unauthenticated,31,Insider Threat,126335,0,33,2,0.7559160982272385,China,3564,6,2942,86,Linux,PC,36026,Disconnected,0
224.201.253.248,185.14.149.32,29486,58349,TCP,1460,9:29:39,Unauthenticated,23,Malware,821277,6,21,1,0.5672074275305027,China,3418,74,2054,81,MacOS,Server,66222,Connected,0
250.92.136.146,27.58.134.83,31518,55255,UDP,983,6:28:39,Authenticated,56,DDoS,321913,8,24,3,0.05415881792032684,Brazil,975,20,4504,15,Other,PC,17755,Connected,0
211.145.67.203,98.60.252.60,13373,27775,TCP,1363,22:34:19,Authenticated,165,Malware,616771,9,2,4,0.6890347655653096,India,1264,36,8358,63,MacOS,IoT,73604,Connected,1
10.218.114.79,172.86.221.233,37785,56716,TCP,298,5:42:17,Authenticated,177,Phishing,389619,6,42,3,0.8801102419039958,Germany,1457,61,4321,96,Linux,Server,53706,Connected,0
55.163.192.119,226.223.155.5,34579,12797,UDP,1053,5:33:41,Authenticated,70,Malware,911862,5,5,4,0.769035006307096,USA,2995,59,8774,59,Windows,PC,73572,Disconnected,1
138.51.177.213,14.106.14.124,46661,59045,TCP,1472,18:16:21,Unauthenticated,195,DDoS,206996,0,14,1,0.8061946715447184,China,1367,12,1599,42,Windows,PC,18842,Disconnected,1
112.121.144.59,36.124.136.176,11386,50572,UDP,704,6:07:25,Authenticated,56,DDoS,689138,1,21,4,0.48086588516018136,USA,446,1,2123,27,Other,Mobile,60484,Disconnected,1
5.213.56.254,252.66.185.225,38167,40148,UDP,1458,9:41:11,Authenticated,1,Insider Threat,711248,9,15,4,0.802278775868742,Germany,1636,23,9708,72,Windows,PC,38429,Connected,0
21.238.1.250,235.67.105.230,29077,8428,TCP,261,17:39:27,Unauthenticated,41,Insider Threat,936307,6,8,4,0.6640621181450265,China,1474,78,3765,23,Linux,PC,45255,Connected,1
17.147.63.204,227.152.218.29,37265,41171,TCP,1426,18:20:24,Unauthenticated,47,Phishing,828735,6,6,1,0.41578111210337354,China,1757,33,8812,80,Windows,Mobile,28645,Connected,0
255.123.136.230,139.168.184.13,32629,48201,TCP,1074,22:44:23,Unauthenticated,159,DDoS,484677,7,23,1,0.09092511332601616,Germany,2954,75,5654,51,Linux,Router,69146,Disconnected,0
28.199.129.66,142.237.236.149,27112,26470,TCP,452,11:47:48,Authenticated,33,Insider Threat,347579,0,0,0,0.2804632730518223,Brazil,1353,59,8445,43,Windows,IoT,14229,Connected,0
223.185.64.100,184.45.216.41,45296,3759,UDP,1469,16:22:48,Unauthenticated,43,Insider Threat,369426,1,5,2,0.9581780593973401,Brazil,1224,88,5292,83,Other,IoT,53361,Connected,1
244.172.185.127,214.240.55.148,58464,49373,TCP,926,3:39:01,Authenticated,187,DDoS,230167,1,48,1,0.2094580903468326,Germany,3452,35,2253,85,Other,PC,59644,Disconnected,1
75.59.82.103,4.70.106.217,49882,43934,UDP,259,7:23:36,Unauthenticated,36,Malware,417504,2,4,1,0.15367641505101803,China,2523,11,9951,82,MacOS,IoT,61611,Disconnected,1
154.92.156.42,188.102.42.27,63069,50415,TCP,365,2:30:15,Authenticated,10,DDoS,42740,4,32,3,0.0004888324244589626,USA,933,35,4408,57,Linux,IoT,69158,Disconnected,1
167.18.15.166,240.242.254.205,50705,25442,UDP,435,11:20:34,Unauthenticated,93,Phishing,333843,2,19,0,0.030178310914293793,China,2856,78,4433,90,Windows,IoT,9383,Connected,0
45.80.109.20,72.219.88.161,11453,59783,TCP,742,18:20:30,Authenticated,50,DDoS,237744,2,45,0,0.8534321692816119,USA,3093,92,5702,67,Other,Server,11261,Connected,1
45.32.94.22,75.131.118.188,14923,29206,UDP,302,1:15:16,Authenticated,11,None,284317,4,19,1,0.906581111229674,Germany,2375,83,7319,49,Other,Router,82968,Connected,1
132.251.172.76,81.77.72.129,3090,55093,UDP,1169,8:10:48,Unauthenticated,162,Insider Threat,725357,9,49,2,0.30002553207644944,Brazil,1513,1,4305,19,Linux,IoT,3310,Disconnected,0
137.181.141.53,71.176.4.97,40777,1172,TCP,310,22:25:49,Unauthenticated,68,Malware,857749,2,11,1,0.4737055958897407,Brazil,3496,21,4844,72,Windows,Mobile,79879,Disconnected,0
186.154.87.131,46.18.116.246,55888,23246,UDP,882,10:53:48,Authenticated,84,None,731085,9,15,3,0.9998527969075186,USA,443,55,8709,38,MacOS,IoT,1855,Connected,0
53.147.40.166,234.20.122.206,18102,21650,TCP,1365,13:25:25,Unauthenticated,25,DDoS,717552,2,47,3,0.43895510773584234,USA,3091,44,7512,73,MacOS,IoT,77637,Disconnected,0
73.247.172.49,250.169.127.28,1994,21476,TCP,515,1:10:14,Unauthenticated,93,Insider Threat,401668,8,39,0,0.2819314414985846,India,797,75,7274,49,Linux,Server,22128,Disconnected,1
254.194.82.244,90.97.193.203,20015,54638,TCP,1382,1:39:02,Authenticated,92,DDoS,702425,2,40,4,0.3038110298084048,USA,2140,49,6117,8,Other,IoT,60094,Connected,1
191.96.232.190,79.151.163.126,38345,24795,UDP,305,6:22:43,Authenticated,172,DDoS,351362,8,27,2,0.9740876271071849,Germany,2138,20,230,25,Other,PC,40831,Connected,0
190.75.56.192,52.91.40.133,58620,14224,UDP,134,3:41:23,Unauthenticated,75,Insider Threat,530450,1,47,3,0.8404386863166718,India,1891,98,7585,69,MacOS,Server,29040,Connected,1
235.53.89.210,51.191.241.168,15774,57499,TCP,1494,17:58:50,Unauthenticated,20,DDoS,705662,5,8,3,0.5130644602902725,USA,3330,9,3082,94,Windows,IoT,42612,Disconnected,1
22.223.87.252,4.51.251.120,60024,9065,TCP,299,8:33:14,Unauthenticated,183,None,316447,3,47,4,0.7241339680239792,India,1739,85,3132,98,Windows,Server,25901,Disconnected,0
46.215.245.70,191.131.100.162,12758,51769,UDP,85,22:50:59,Unauthenticated,195,DDoS,370505,8,47,0,0.04329472852734795,Germany,1987,87,1397,77,Other,IoT,9449,Connected,1
94.218.181.144,39.16.47.138,31557,19600,UDP,114,0:07:04,Authenticated,31,DDoS,406999,8,38,2,0.17795798506116922,Brazil,2281,93,8230,74,Windows,Mobile,74469,Connected,1
253.72.8.85,139.91.231.125,59141,47749,UDP,304,5:20:39,Authenticated,142,Phishing,498712,9,5,3,0.33858049672086,Brazil,2469,66,4865,45,Linux,IoT,50283,Disconnected,0
60.186.133.56,216.7.186.56,63958,15181,UDP,1018,11:31:43,Authenticated,185,Phishing,841669,5,30,0,0.06981179311926833,USA,330,72,3351,19,Linux,PC,79535,Connected,1
74.216.60.33,247.111.53.150,38381,48089,UDP,249,7:29:46,Authenticated,129,Phishing,253120,0,1,2,0.2148822173900341,USA,2908,5,4219,37,Other,Server,52077,Connected,1
27.145.241.244,24.168.51.59,42113,25456,TCP,1318,18:46:30,Unauthenticated,30,DDoS,707670,9,18,4,0.79863713433017,Germany,571,93,2934,41,MacOS,Router,13941,Disconnected,0
53.99.6.39,247.151.248.218,58542,53860,UDP,725,13:27:11,Authenticated,159,Phishing,412131,5,48,4,0.01269168453565861,Germany,1172,54,890,89,Linux,Router,73703,Disconnected,0
159.169.243.222,163.248.20.148,11683,32479,UDP,476,18:08:25,Authenticated,8,Malware,264283,9,33,1,0.4720829935007955,Brazil,1019,40,9322,20,MacOS,IoT,83211,Disconnected,0
171.239.226.89,245.21.65.24,31718,29918,TCP,1254,4:20:48,Authenticated,131,DDoS,744919,7,45,2,0.24445881769258626,China,1586,31,6808,40,MacOS,Server,24519,Connected,1
110.131.239.37,144.150.140.163,33305,40844,TCP,1043,14:52:14,Authenticated,125,DDoS,76097,3,24,4,0.8169466726885651,USA,2443,22,3447,10,Linux,Router,70801,Disconnected,1
151.51.153.105,178.14.37.20,20880,43572,UDP,1360,6:23:13,Unauthenticated,70,DDoS,480552,1,32,3,0.5580808772317988,China,3050,59,3246,66,Other,IoT,17623,Disconnected,0
246.195.91.118,122.31.84.74,23999,48131,UDP,559,20:36:08,Unauthenticated,104,None,742418,6,19,2,0.08869904084082358,Germany,2435,52,6121,59,Other,IoT,40172,Disconnected,1
181.52.1.49,186.178.34.251,42509,13877,UDP,729,13:44:06,Authenticated,160,Insider Threat,39936,1,23,4,0.9687205612338945,India,2781,87,988,66,Windows,Server,39790,Connected,0
182.206.69.140,216.94.241.225,34619,49260,UDP,157,5:21:23,Unauthenticated,153,Phishing,796168,5,5,3,0.051374926408329746,Brazil,2928,76,6140,62,Other,PC,58947,Disconnected,0
178.64.10.252,12.250.73.69,59658,21691,UDP,433,18:34:48,Authenticated,93,Phishing,637755,7,42,2,0.13614755811395318,India,512,25,8815,27,Windows,Server,43972,Disconnected,1
48.10.51.242,189.20.32.12,44676,28661,UDP,583,5:59:11,Authenticated,38,DDoS,75636,6,10,3,0.8984122912691286,USA,1668,75,8268,24,Windows,Mobile,63769,Disconnected,1
82.81.106.142,104.118.173.150,37696,58665,UDP,600,11:39:30,Unauthenticated,122,Malware,686252,1,24,1,0.6927643371099147,Germany,2040,7,7931,69,Linux,Router,52545,Connected,1
40.183.204.76,14.235.133.124,8630,34982,UDP,243,23:24:23,Authenticated,65,DDoS,798491,2,37,2,0.209741536838024,India,2606,61,4702,24,MacOS,Server,44159,Connected,0
81.82.65.231,223.135.222.139,54288,49385,TCP,1271,16:33:22,Authenticated,45,Insider Threat,293094,7,20,0,0.05582384795005779,Germany,1799,23,1587,88,Linux,IoT,30259,Disconnected,1
237.121.149.100,69.229.159.81,42995,34289,UDP,718,1:56:39,Unauthenticated,168,None,649679,6,24,4,0.9837025574373567,Germany,373,22,7792,75,Windows,IoT,71090,Connected,1
128.137.187.221,20.182.225.247,5055,32465,TCP,429,10:53:17,Authenticated,198,Insider Threat,53893,1,35,2,0.7390419776700115,India,2087,33,4198,3,MacOS,IoT,50777,Disconnected,0
227.137.139.179,103.216.162.55,29955,6552,UDP,434,17:32:41,Unauthenticated,125,Insider Threat,266415,5,33,3,0.9157976452202962,Brazil,2424,96,9323,40,MacOS,Router,4504,Disconnected,0
35.139.157.111,11.193.163.78,34510,62643,TCP,765,8:43:32,Unauthenticated,53,None,477653,9,14,1,0.6843442611623078,China,1856,57,1079,27,Windows,Server,11422,Connected,1
205.146.53.187,177.30.219.29,43000,3282,TCP,217,2:36:53,Unauthenticated,45,Insider Threat,730379,5,16,2,0.05950705674472545,Germany,42,54,4863,58,MacOS,IoT,60552,Disconnected,0
98.179.62.216,43.94.107.64,6986,12216,TCP,1025,21:50:42,Unauthenticated,98,Insider Threat,439530,2,40,3,0.8807489409683217,Germany,1038,80,1106,12,MacOS,Router,61308,Disconnected,0
106.50.224.93,200.166.100.222,62323,59907,TCP,1448,1:28:15,Authenticated,89,Phishing,71651,1,38,1,0.1790013050671746,Brazil,1196,47,2991,65,Other,PC,70429,Connected,0
126.94.9.231,155.32.130.209,60570,14601,UDP,592,12:33:38,Authenticated,188,DDoS,269374,9,47,1,0.7082381823424976,Brazil,1003,66,1276,35,Linux,Router,80458,Disconnected,1
66.24.12.163,201.15.226.39,44452,5440,UDP,1406,14:53:25,Unauthenticated,72,Phishing,475830,9,8,0,0.5760459865030952,China,3469,61,8667,88,Windows,Router,49923,Disconnected,1
206.228.130.110,230.56.122.101,32110,2824,TCP,316,4:11:59,Unauthenticated,152,Insider Threat,900908,3,27,1,0.23079319788309072,USA,551,69,483,58,Windows,Mobile,50157,Disconnected,1
134.156.81.125,153.217.41.23,27004,30878,TCP,371,21:45:44,Authenticated,110,None,734137,2,34,1,0.5913470765361496,India,1814,11,6615,62,MacOS,IoT,69290,Disconnected,0
126.27.235.87,178.195.203.245,23084,63288,UDP,663,1:21:44,Authenticated,94,Insider Threat,63503,3,20,1,0.5548953907330454,Germany,942,66,428,65,Linux,Server,73008,Connected,1
255.193.180.81,148.183.90.192,31367,30563,TCP,876,9:09:25,Unauthenticated,130,DDoS,801852,6,1,0,0.019357552124363964,Germany,1580,99,5926,65,Linux,IoT,57648,Disconnected,1
157.20.222.207,160.224.75.134,24417,40987,UDP,506,12:59:10,Unauthenticated,162,DDoS,461265,3,42,2,0.18857329050436833,Germany,3541,2,2758,63,Windows,Router,38446,Disconnected,1
81.142.235.156,93.51.231.136,2389,19701,UDP,535,4:49:32,Authenticated,77,None,710887,1,13,0,0.255035246579312,USA,1570,21,8088,47,MacOS,Server,74048,Connected,1
47.8.119.123,239.235.243.13,4674,58554,TCP,280,3:34:15,Authenticated,199,Phishing,699303,0,48,2,0.1416291948756766,Germany,197,27,8624,1,Linux,PC,37374,Connected,0
169.155.136.163,216.54.238.129,47360,34136,TCP,994,10:26:08,Unauthenticated,41,DDoS,892608,7,1,1,0.1297222952193503,Germany,3035,63,6843,24,Other,IoT,5263,Disconnected,1
